,0,1,2,3,4,5,6,7,8,9
2200,0.006093979,0.006502151,0.009437561,0.009828568,0.009378433,0.009349823,0.009120941,0.01000786,0.009489059,0.009538651
2220,0.004983902,0.004999161,0.009691238,0.009317398,0.009683609,0.009706497,0.009860992,0.009946823,0.00954628,0.009700775
2240,0.005455017,0.005884171,0.009283066,0.009778976,0.009349823,0.009752274,0.00967598,0.009605408,0.009963989,0.009552002
2260,0.006015778,0.0064888,0.01014709,0.009765625,0.009860992,0.009759903,0.009567261,0.009725571,0.00938797,0.008975983
2280,0.005226135,0.006462097,0.009689331,0.009511948,0.01009369,0.00951004,0.009578705,0.009679794,0.009130478,0.01009369
2300,0.00573349,0.006364822,0.009677887,0.009952545,0.00966835,0.009647369,0.009830475,0.009195328,0.009187698,0.009750366
2320,0.005382538,0.005792618,0.01013374,0.009693146,0.009176254,0.009902954,0.009893417,0.009740829,0.009662628,0.009170532
2340,0.005367279,0.006772995,0.00976181,0.009922028,0.0100708,0.01000214,0.009662628,0.01082611,0.01008224,0.009462357
2360,0.006126404,0.006095886,0.01045418,0.01042747,0.009887695,0.009202957,0.009561539,0.009614944,0.01024055,0.01008415
2380,0.005447388,0.006317139,0.009752274,0.009449005,0.009382248,0.009199142,0.009803772,0.009881973,0.009431839,0.008995056
2400,0.004964828,0.00629425,0.009429932,0.009420395,0.00992012,0.009992599,0.010149,0.0100956,0.009845734,0.009929657
2420,0.005105972,0.005804062,0.009304047,0.01053619,0.009202957,0.009408951,0.009307861,0.009971619,0.00989151,0.009231567
2440,0.005634308,0.006328583,0.01036644,0.01074028,0.01052284,0.01013756,0.009857178,0.009654999,0.01006508,0.009662628
2460,0.005495071,0.006210327,0.01027107,0.0107193,0.01058197,0.00983429,0.01082039,0.01016045,0.01006317,0.01025391
2480,0.005699158,0.006223679,0.009889603,0.01045799,0.01002121,0.0101738,0.009790421,0.009553909,0.01050568,0.009819031
2500,0.006509781,0.006011963,0.01026535,0.01060867,0.009990692,0.01020241,0.01044083,0.01022339,0.009714127,0.009889603
2520,0.006347656,0.005834579,0.007726669,0.009943008,0.01088524,0.01005745,0.01044655,0.01062012,0.01002502,0.009342194
2540,0.005254745,0.006099701,0.009414673,0.01005745,0.009435654,0.009990692,0.01016426,0.01068306,0.009807587,0.009710312
2560,0.005775452,0.005628586,0.01045036,0.009763718,0.01061249,0.01010513,0.01050568,0.01034355,0.0102005,0.01028824
2580,0.00620842,0.005786896,0.009649277,0.01062202,0.009607315,0.01029968,0.01010513,0.009420395,0.0100193,0.009981155
2600,0.005931854,0.006681442,0.01068497,0.01075554,0.01029015,0.01026154,0.01025009,0.0100441,0.01045227,0.009809494
2620,0.006383896,0.006645203,0.01034737,0.009807587,0.01028252,0.01066399,0.0101738,0.01007271,0.01026154,0.01040649
2640,0.007450104,0.006404877,0.009944916,0.01076317,0.01010132,0.007152557,0.01034355,0.01061249,0.01017952,0.01023674
2660,0.006189346,0.006313324,0.01072693,0.0108223,0.01056099,0.01105881,0.01072311,0.01050568,0.009803772,0.01045799
