,0,1,2,3,4,5,6,7,8,9
1980,0.0556469,0.04981995,0.04389381,0.03830528,0.03337288,0.02715683,0.02159882,0.01642227,0.01105118,0.05416298
2000,0.05015564,0.04398537,0.03840065,0.03273773,0.02742767,0.02210045,0.01678085,0.01146126,0.05547333,0.04940987
2020,0.04543304,0.0390377,0.03323936,0.02804947,0.02270699,0.01723862,0.01181793,0.05703545,0.05047607,0.04612923
2040,0.04084969,0.0351429,0.03056908,0.0229435,0.01737404,0.0120945,0.05801582,0.05219269,0.04576683,0.04039001
2060,0.03471565,0.0289917,0.02445984,0.01857758,0.01270676,0.05784035,0.05376053,0.04668999,0.04059029,0.03474808
2080,0.02983475,0.02399445,0.01828575,0.01237488,0.05957222,0.05302429,0.0475502,0.04251289,0.03536415,0.0294323
2100,0.02584648,0.01951218,0.01248741,0.06019974,0.05661774,0.04828262,0.04359627,0.03782272,0.03117943,0.02528
2120,0.01856613,0.01416969,0.06184006,0.05498123,0.04948425,0.04323196,0.03666878,0.03069305,0.02467918,0.01886749
2140,0.01394653,0.06379318,0.05689621,0.05031967,0.04665184,0.03796196,0.03164482,0.02616501,0.01902199,0.01338577
2160,0.06421089,0.05812454,0.05108261,0.0453968,0.03845596,0.03163147,0.02563286,0.01928139,0.01304626,0.06473923
2180,0.05895996,0.05231857,0.0454731,0.03936005,0.03231812,0.02606201,0.01978683,0.01337433,0.0647831,0.05873489
2200,0.05296135,0.04664612,0.03969193,0.03375053,0.02637291,0.02020645,0.01516151,0.06648254,0.06001472,0.05288124
2220,0.0477581,0.04062843,0.03361702,0.02956772,0.02027702,0.0141201,0.06651688,0.06099701,0.05468369,0.04709435
2240,0.040905,0.03394127,0.02824974,0.02243805,0.01433754,0.06783676,0.06133842,0.05545998,0.0487957,0.04084015
2260,0.03451538,0.02761459,0.02097511,0.01411819,0.06926346,0.06352806,0.05607986,0.04879379,0.04169846,0.03531647
2280,0.0285759,0.02150917,0.01455307,0.0712471,0.06349182,0.0580616,0.0497303,0.04188728,0.03493881,0.02827644
